Subject,Control,Complexity,Trial,Perweek,Lifetime,Expertise,Lives,Treasure,Input,Score,Difficulty,RR_Mean,RR_Zscore,MDP_r,N_observations,Include_Input,Include_Score,Include_Difficulty,Include_RR,Include_MDP_r,Include_N_obs
Sub20,none,high,trial5,2.5,2000,expert,8.0,3.0,0.0,27.0,7.0,906.238244514107,0.701281645847135,0.0,nan,True,True,True,True,False,True
Sub20,waypoint,high,trial6,2.5,2000,expert,7.0,3.0,15.0,24.0,7.0,847.152492668622,-1.65501394068996,3.0,45.0,True,True,True,True,False,True
Sub20,directergodic,high,trial7,2.5,2000,expert,8.0,0.0,13.0,24.0,8.0,949.078947368421,2.40973683016552,nan,44.0,True,True,True,True,False,True
Sub20,sharedergodic,high,trial8,2.5,2000,expert,8.0,3.0,15.0,27.0,8.0,888.141538461539,-0.020401454911846,0.0,73.0,True,True,True,True,False,True
Sub20,autoergodic,high,trial9,2.5,2000,expert,8.0,4.0,0.0,28.0,8.0,877.115501519757,-0.460111560503071,3.0,82.0,True,True,True,True,False,True
Sub21,none,low,trial0,0,1200,expert,8.0,3.0,0.0,27.0,5.0,969.580536912752,-0.244915242318287,0.0,nan,True,True,True,True,False,True
Sub21,waypoint,low,trial1,0,1200,expert,8.0,3.0,0.0,27.0,7.0,949.503289473684,-1.14398547805409,0.0,27.0,True,True,True,True,False,True
Sub21,directergodic,low,trial2,0,1200,expert,8.0,4.0,7.0,28.0,9.0,1001.35763888889,1.17808094535102,0.0,66.0,True,True,True,True,False,True
Sub21,sharedergodic,low,trial3,0,1200,expert,8.0,4.0,6.0,28.0,8.0,969.804713804714,-0.234876477207947,0.0,76.0,True,True,True,True,False,True
Sub21,autoergodic,low,trial4,0,1200,expert,8.0,4.0,0.0,28.0,9.0,988.308219178082,0.593720719118963,0.0,66.0,True,True,True,True,False,True
Sub21,none,high,trial5,0,1200,expert,8.0,3.0,0.0,27.0,5.0,967.43288590604,-0.341088241268581,0.0,nan,True,True,True,True,False,True
Sub21,waypoint,high,trial6,0,1200,expert,8.0,0.0,6.0,24.0,7.0,957.511627906977,-0.785367657313278,nan,39.0,True,True,True,True,False,True
Sub21,directergodic,high,trial7,0,1200,expert,8.0,4.0,5.0,28.0,9.0,961.533333333333,-0.6052734657809,3.0,48.0,True,True,True,True,False,True
Sub21,sharedergodic,high,trial8,0,1200,expert,8.0,4.0,3.0,28.0,8.0,1026.16312056738,2.28888412332158,9.0,66.0,True,True,True,True,False,True
Sub21,autoergodic,high,trial9,0,1200,expert,8.0,4.0,0.0,28.0,9.0,959.302325581395,-0.705179225848396,0.0,71.0,True,True,True,True,False,True
Sub22,none,low,trial0,0,5200,expert,8.0,3.0,0.0,27.0,5.0,829.376436781609,-0.409006404131119,3.0,nan,True,True,True,True,True,True
Sub22,waypoint,low,trial1,0,5200,expert,8.0,4.0,8.0,28.0,6.0,827.957020057307,-0.457389996771135,12.0,35.0,True,True,True,True,True,True
Sub22,directergodic,low,trial2,0,5200,expert,8.0,4.0,3.0,28.0,8.0,847.266862170088,0.200823703780348,0.0,32.0,True,True,True,True,True,True
Sub22,sharedergodic,low,trial3,0,5200,expert,6.0,4.0,6.0,22.0,9.0,891.613003095975,1.7124485712196,0.0,55.0,True,True,True,True,True,True
Sub22,autoergodic,low,trial4,0,5200,expert,7.0,3.0,0.0,24.0,8.0,831.26724137931,-0.344554634717175,6.0,70.0,True,True,True,True,True,True
Sub22,none,high,trial5,0,5200,expert,7.0,3.0,0.0,24.0,3.0,814.245762711864,-0.924764995688583,3.0,nan,True,True,True,True,True,True
Sub22,waypoint,high,trial6,0,5200,expert,8.0,4.0,7.0,28.0,5.0,834.002881844381,-0.251304983923794,0.0,23.0,True,True,True,True,True,True
Sub22,directergodic,high,trial7,0,5200,expert,7.0,3.0,4.0,24.0,6.0,890.719135802469,1.68197935787107,0.0,52.0,True,True,True,True,True,True
Sub22,sharedergodic,high,trial8,0,5200,expert,8.0,3.0,8.0,27.0,8.0,853.387573964497,0.409460125387362,0.0,64.0,True,True,True,True,True,True
Sub22,autoergodic,high,trial9,0,5200,expert,8.0,4.0,0.0,28.0,9.0,793.917582417582,-1.61769074302655,3.0,88.0,True,True,True,True,True,True
Sub23,none,low,trial0,0,5,novice,7.0,3.0,0.0,24.0,9.0,1046.71376811594,-0.296515853433582,nan,nan,True,True,True,False,False,True
Sub23,waypoint,low,trial1,0,5,novice,8.0,3.0,8.0,27.0,5.0,1027.76868327402,-0.770762197157261,nan,28.0,True,True,True,False,False,True
Sub23,directergodic,low,trial2,0,5,novice,6.0,3.0,9.0,21.0,9.0,1100.32824427481,1.04559844698596,nan,57.0,True,True,True,False,False,True
Sub23,sharedergodic,low,trial3,0,5,novice,8.0,3.0,9.0,27.0,9.0,1020.42049469965,-0.954707088059956,nan,57.0,True,True,True,False,False,True
Sub23,autoergodic,low,trial4,0,5,novice,5.0,3.0,0.0,18.0,9.0,1089.2,0.767028611937539,nan,60.0,True,True,True,False,False,True
Sub23,none,high,trial5,0,5,novice,8.0,2.0,0.0,26.0,7.0,1055.36996336996,-0.079828043163434,nan,nan,True,True,True,False,False,True
Sub23,waypoint,high,trial6,0,5,novice,6.0,2.0,9.0,20.0,6.0,1064.68265682657,0.153293679904371,nan,32.0,True,True,True,False,False,True
Sub23,directergodic,high,trial7,0,5,novice,8.0,3.0,10.0,27.0,9.0,1128.62890625,1.75404000735289,nan,50.0,True,True,True,False,False,True
Sub23,sharedergodic,high,trial8,0,5,novice,7.0,3.0,7.0,24.0,6.0,nan,nan,nan,66.0,True,True,True,False,False,True
Sub23,autoergodic,high,trial9,0,5,novice,8.0,3.0,0.0,27.0,8.0,993.917525773196,-1.61814756436649,nan,72.0,True,True,True,False,False,True
Sub24,none,low,trial0,0,2000,expert,7.0,4.0,0.0,25.0,8.0,667.503464203233,-1.42456636087305,6.0,nan,True,True,True,True,False,True
Sub24,waypoint,low,trial1,0,2000,expert,8.0,3.0,13.0,27.0,9.0,716.119106699752,-0.15066082427735,0.0,35.0,True,True,True,True,False,True
Sub24,directergodic,low,trial2,0,2000,expert,8.0,3.0,8.0,27.0,7.0,776.193548387097,1.42350666469257,0.0,32.0,True,True,True,True,False,True
