Subject,Control,Complexity,Trial,Skill,Perweek,Lifetime,Expertise,Alllow,Allhigh,RR
Sub28,waypoint,high,trial6,0,0,1000,expert,1,1,1014.4
Sub28,directergodic,high,trial7,0,0,1000,expert,1,1,1034.9605734767026
Sub28,sharedergodic,high,trial8,0,0,1000,expert,1,1,1062.70110701107
Sub28,autoergodic,high,trial9,0,0,1000,expert,1,1,1040.6209386281591
Sub29,none,low,trial0,0,5,10000,expert,1,1,854.0384615384614
Sub29,waypoint,low,trial1,0,5,10000,expert,1,1,813.7633802816902
Sub29,directergodic,low,trial2,0,5,10000,expert,1,1,842.0903790087464
Sub29,sharedergodic,low,trial3,0,5,10000,expert,1,1,834.1676300578033
Sub29,autoergodic,low,trial4,0,5,10000,expert,1,1,865.7957957957957
Sub29,none,high,trial5,0,5,10000,expert,1,1,830.5143678160921
Sub29,waypoint,high,trial6,0,5,10000,expert,1,1,843.1725146198829
Sub29,directergodic,high,trial7,0,5,10000,expert,1,1,806.0446927374303
Sub29,sharedergodic,high,trial8,0,5,10000,expert,1,1,847.2258064516128
Sub29,autoergodic,high,trial9,0,5,10000,expert,1,1,833.8760806916426
Sub30,none,low,trial0,0,0,400,novice,1,1,701.0592592592592
Sub30,waypoint,low,trial1,0,0,400,novice,1,1,690.0216802168022
Sub30,directergodic,low,trial2,0,0,400,novice,1,1,694.4474327628363
Sub30,sharedergodic,low,trial3,0,0,400,novice,1,1,692.6682926829268
Sub30,autoergodic,low,trial4,0,0,400,novice,1,1,706.8383084577115
Sub30,none,high,trial5,0,0,400,novice,1,1,679.2296650717702
Sub30,waypoint,high,trial6,0,0,400,novice,1,1,689.3065693430658
Sub30,directergodic,high,trial7,0,0,400,novice,1,1,688.1598062953997
Sub30,sharedergodic,high,trial8,0,0,400,novice,1,1,671.5059101654846
Sub30,autoergodic,high,trial9,0,0,400,novice,1,1,705.0769230769231
Sub31,none,low,trial0,0,0,2,novice,1,1,829.3954154727794
Sub31,waypoint,low,trial1,0,0,2,novice,1,1,911.4984227129338
Sub31,directergodic,low,trial2,0,0,2,novice,1,1,807.5139664804469
Sub31,sharedergodic,low,trial3,0,0,2,novice,1,1,825.4257142857142
Sub31,autoergodic,low,trial4,0,0,2,novice,1,1,825.2285714285713
Sub31,none,high,trial5,0,0,2,novice,1,1,788.5218579234974
Sub31,waypoint,high,trial6,0,0,2,novice,1,1,893.3219814241486
Sub31,directergodic,high,trial7,0,0,2,novice,1,1,857.080118694362
Sub31,sharedergodic,high,trial8,0,0,2,novice,1,1,844.0672514619882
Sub31,autoergodic,high,trial9,0,0,2,novice,1,1,806.5083798882681
Sub32,none,low,trial0,0,10,1750,expert,1,1,717.5074626865671
Sub32,waypoint,low,trial1,0,10,1750,expert,1,1,709.1449631449632
Sub32,directergodic,low,trial2,0,10,1750,expert,1,1,713.6064356435643
Sub32,sharedergodic,low,trial3,0,10,1750,expert,1,1,725.4547738693468
Sub32,autoergodic,low,trial4,0,10,1750,expert,1,1,745.1958762886599
Sub32,none,high,trial5,0,10,1750,expert,1,1,729.2348484848485
Sub32,waypoint,high,trial6,0,10,1750,expert,1,1,717.1985111662531
Sub32,directergodic,high,trial7,0,10,1750,expert,1,1,722.7919799498745
Sub32,sharedergodic,high,trial8,0,10,1750,expert,1,1,735.4936386768447
Sub32,autoergodic,high,trial9,0,10,1750,expert,1,1,738.8363171355497
Sub33,none,low,trial0,0,0,72,novice,1,1,868.7650602409639
Sub33,waypoint,low,trial1,0,0,72,novice,1,1,961.7966666666665
Sub33,directergodic,low,trial2,0,0,72,novice,1,1,948.0426229508196
Sub33,sharedergodic,low,trial3,0,0,72,novice,1,1,864.2814371257484
Sub33,autoergodic,low,trial4,0,0,72,novice,1,1,978.0406779661017
Sub33,none,high,trial5,0,0,72,novice,1,1,797.8163841807909
Sub33,waypoint,high,trial6,0,0,72,novice,1,1,935.5
Sub33,directergodic,high,trial7,0,0,72,novice,1,1,938.3745928338761
Sub33,sharedergodic,high,trial8,0,0,72,novice,1,1,932.9773462783172
Sub33,autoergodic,high,trial9,0,0,72,novice,1,1,949.9703947368421
Sub34,none,low,trial0,0,8,15236,expert,1,1,830.0028735632184
Sub34,waypoint,low,trial1,0,8,15236,expert,1,1,820.3409090909091
Sub34,directergodic,low,trial2,0,8,15236,expert,1,1,797.7762430939226
Sub34,sharedergodic,low,trial3,0,8,15236,expert,1,1,815.1666666666665
Sub34,autoergodic,low,trial4,0,8,15236,expert,1,1,824.8
Sub34,none,high,trial5,0,8,15236,expert,1,1,814.9237288135594
Sub34,waypoint,high,trial6,0,8,15236,expert,1,1,819.0339943342776
Sub34,directergodic,high,trial7,0,8,15236,expert,1,1,817.4135977337111
Sub34,sharedergodic,high,trial8,0,8,15236,expert,1,1,808.6330532212885
Sub34,autoergodic,high,trial9,0,8,15236,expert,1,1,797.646408839779
Sub35,none,low,trial0,0,0,14560,expert,1,1,912.6360759493672
Sub35,waypoint,low,trial1,0,0,14560,expert,1,1,866.3813813813814
Sub35,directergodic,low,trial2,0,0,14560,expert,1,1,868.6006006006006
Sub35,sharedergodic,low,trial3,0,0,14560,expert,1,1,854.5917159763312
Sub35,autoergodic,low,trial4,0,0,14560,expert,1,1,872.7069486404832
Sub35,none,high,trial5,0,0,14560,expert,1,1,887.6196319018405
Sub35,waypoint,high,trial6,0,0,14560,expert,1,1,905.4137931034484
Sub35,directergodic,high,trial7,0,0,14560,expert,1,1,857.7566765578637
Sub35,sharedergodic,high,trial8,0,0,14560,expert,1,1,889.96
Sub35,autoergodic,high,trial9,0,0,14560,expert,1,1,935.62012987013
Sub36,none,low,trial0,0,10,7800,expert,1,1,870.7198795180722
Sub36,waypoint,low,trial1,0,10,7800,expert,1,1,852.7100591715978
Sub36,directergodic,low,trial2,0,10,7800,expert,1,1,868.6876876876877
